et	de	en	lt	lv
(1) Mõõtke piduritrumli siseläbimõõt.	(1) Messen Sie das innere Diameter der Bremstrommel.	(1) Measure the inner diameter of the brake drum.	(1) Išmatuokite stabdžių būgno vidinį skersmenį.	(1) Izmēriet bremžu skriemeļa iekšējo diametru.
(3) Eemaldage kork.	(3) Entfernen Sie den Loch-Stecker.	(3) Remove the hole plug.	(3) Ištraukite angos kaištį.	(3) Noņemiet atveres aizbāzni.
(4) Keerake regulaatorit kruvikeerajaga ja laiendage kinga kuni mahuti lukustub.	"(4) Drehen Sie die Justierung mithilfe eines Schraubendrehers und weiten Sie den Schuh, bis die Trommel sich verschließt."	"(4) Using a screw driver, turn the adjustment and expand the shoe until the drum locks."	"(4) Reguliuodami atsuktuvu, išplėskite trinkeles, kol būgnas užsifiksuos."	"(4) Izmantojot skrūvgriezi, pagrieziet regulētāju un izvērsiet lokus, līdz skriemelis nobloķējas."
(6) Paigaldage kork.	(6) Bringen Sie den Loch-Stecker an.	(6) Install the hole plug.	(6) Įkiškite angos kaištį.	(6) Uzstādiet atveres aizbāzni.
10 osutab poldi kõrgusele.	„10“ zeigt die Höhe der Schraube an.	‘10’ indicates the height of the bolt.	„10“ nurodo varžto aukštį.	"Ar ""10"" apzīmē skrūves augstumu."
11T osutab poldi pikkusele.	„11T“ zeigt die Länge der Schraube an.	‘11T’ indicates the length of the bolt.	„11T“ nurodo varžto ilgį.	"Ar ""11T"" apzīmē skrūves garumu."
"M näitab, et tegemist on vasakkeermega."	„M“ zeigt das Gewinde linker Hand an.	‘M’ indicates a left-handed screw thread.	„M“ nurodo kairinį sriegį.	"Ar ""M"" apzīmē skrūves kreiso vītni."
1. Reguleerpolt	1. Stellriegel	1. Adjusting bolt	1. Reguliavimo varžtas	1. Regulējošā skrūve
1. Poltide aksiaalpinge.	1. Axiale Spannung der Schraube.	1. Bolt’s axial tension.	1. Varžto ašių įtempimas.	1. Skrūves aksiālā stiepe.
"1. Mõlemad servad on kulunud, rehvirõhk on liiga madal"	"1. Verschleiß beider Kanten, Reifendruck zu niedrig"	"1. Both edges wear, tire pressure too low"	"1. Nusidėvėję abu kraštai, per mažas slėgis padangoje"	"1. Nodilums abās malās, spiediens riepās pārāk zems"
1. Jahutusvedeliku leke	1. Kühlmittel-Leck	1. Coolant leakage	1. Aušalo nuotėkis	1. Dzesēšanas šķidruma noplūde
1. Ketasrootori paksus ja kulumise kontrollimine.	1. Dicke der Bremsscheibe und Inspektion des Planlaufs.	1. Disc rotor thickness and run-out inspection.	1. Disko rotoriaus storio ir mušimo patikra.	1. Diska biezuma un nolietojuma pārbaude.
1. Mootor välja lülitatud	1. Motor aus	1. Engine off	1. Variklis išjungtas	1. Izslēdziet dzinēju
1. Tihend	1. Dichtung	1. Gasket	1. Tarpiklis	1. Blīve
1. L-vorm: täiustatud pöördemomendile	1. L-Form: Für verbessertes Drehmoment	1. L- shape: For improved torque	1. L formos: geresnis sukimo momentas	1. L- forma: Uzlabotam pievilkšanas spēkam
1. Laske mootoril mõned sekundid käia.	1. Lassen Sie den Motor einige Sekunden laufen.	1. Let the engine run for several seconds.	1. Leiskite varikliui veikti kelias sekundes.	1. Ļaujiet dzinējam darboties dažas sekundes.
1. Lukustusmutter	1. Kontermutter	1. Lock nut	1. Kontraveržlė	1. Pretuzgrieznis
1. Lukustusmutter	1. Sicherungsmutter	1. Locking nut	1. Kontraveržlė	1. Pretuzgrieznis
1. Koonusmokktangid	1. Nadelzange	1. Needle nose plier	1. Smailios replės	1. Apaļknaibles
1. Õlikulu	1. Ölverbrauch	1. Oil consumption	1. Alyvos sąnaudos	1. Eļļas patēriņš
1. Eemaldage tagumise ketaspiduri kaliiber ja tagumine piduriketas.	1. Entfernen Sie den hinteren Scheibenbremssattel und die hintere Bremsscheibe.	1. Remove the rear disc brake caliper and the rear brake disc.	1. Nuimkite galinio diskinio stabdžio apkabą ir galinio stabdžio diską.	1. Noņemiet aizmugurējā diska bremžu skavu un aizmugurējo bremžu disku.
1. Standardtüüp	1. Standardtyp:	1. Standard type	1. Standartinis tipas	1. Standarta dinamometriskā atslēga
1. Käivitage mootor	1. Starten Sie den Motor	1. Start the engine	1. Užveskite variklį	1. Iedarbiniet dzinēju.
"1. Et mõõdiku otsa mitte painutada ega kahjustada, ärge kasutage suruge mõõdikut jõuga mõõtmisalasse."	"1. Damit die Spitze des Messgeräts nicht verbogen oder beschädigt wird, führen Sie das Messgerät nicht mit Kraft in den zu messenden Bereich ein."	"1. To avoid bending or damaging the tip of the gauge, do not force the gauge into the area to be measured."	"1. Kad neužlenktumėte skalės galiuko, nestumkite jos per jėgą į norimą išmatuoti sritį."	"1. Lai novērstu mērinstrumenta uzgaļa saliekšanu vai sabojāšanu, nespiediet mērinstrumentu ar spēku mērāmajā vietā."
1. Tikkpoldi paigaldamiseks keerake ülemist mutrit kinnikeeramise suunas.	"1. Um den Stehbolzen anzubringen, drehen Sie die oberste Mutter in die Anzugsrichtung."	"1. To install the stud bolt, turn the top nut in the tightening direction."	"1. Norėdami įsukti suveržimo varžtą, pasukite viršutinę veržlę užveržimo kryptimi."	"1. Lai uzstādītu tapskrūvi, grieziet augšējo uzgriezni pievilkšanas virzienā."
"1. Keerake kangi paremale ( 2 ), mutri/poldi lõdvendamiseks ja vasakule ( 1 ) pingutamiseks."	"1. Drehen Sie den festgelegten Hebel nach rechts ( 2 ), um eine Mutter/Schraube zu lösen, und nach links ( 1 ), um sie festzuziehen."	1. Turn the set lever to the right ( 2 ) for loosening a nut / bolt and to the left ( 1 ) for tightening.	"1. Pasukite nustatymo svirtį į dešinę ( 2 ), kad atlaisvintumėte veržlę / varžtą, ir į dešinę ( 1 ), kad priveržtumėte."	"1. Pagrieziet iestatīto pārslēgu pa labi (2), lai atlaistu uzgriezni/skrūvi, un pa kreisi (1), lai to pievilktu."
1. Kulumine	1. Verschleiß	1. Wear	1. Nusidėvėjimas	1. Nodilums
1. Millisel järgmistest piltidest on ratast kandva lõtku vaatlus?	1. Welche der folgenden Illustrationen zeigt die Inspektion des freien Lenkungsspiels des Radlagers?	1. Which one of the following illustrations shows a wheel bearing free-play inspection?	1. Kurioje iliustracijoje pavaizduota rato guolio laisvumo patikra?	1. Kurā no turpmāk norādītajiem attēliem ir parādīta riteņu gultņu brīvkustības pārbaude?
"1. Milline kolmest järgmisest väitest, mis puudutab sõidukite automaatse pingutiga veorihma, on õige? "	1. Welche der folgenden Aussagen über Antriebsriemen bei Fahrzeugen mit automatischem Spanner ist richtig?	1. Which one of the following statements regarding the drive belt on vehicles with an auto tensioner is correct?	1. Kuris iš šių teiginių apie pavaros diržą varikliuose su automatiniu įtempikliu yra teisingas?	1. Kurš no turpmāk minētajiem apgalvojumiem par piedziņas siksnu transportlīdzekļiem ar automātisko spriegotājierīci ir pareizs?
1.25: keermesamm (mm).	"1,25: Gewindesteigung (mm)."	1.25: Thread pitch (mm).	1.25: sraigto žingsnis (mm).	"1,25: Vītnes solis (mm)."
12: Ülekandesüsteemi rike	12: Fehlfunktion des Getriebesystems.	12: Transmission system malfunction	12: Transmisijos sistemos gedimas	12: Transmisijas sistēmas darbības traucējumu brīdinājuma lampiņa
2. Reguleermutter	2. Mutter anpassen	2. Adjusting nut	2. Reguliavimo veržlė	2. Regulēšanas skrūve
"2. Kui kuusnurkse mutri või poldi pind on piiratud, pole ohtu, et poldi nurgad saaksid kahjustada ja seetõttu võib rakendada suurt pöördejõudu."	"2. Da die sechskantige Oberfläche der Mutter oder Schraube eingefasst ist, besteht keine Gefahr, die Ecken der Schraube zu beschädigen. Eine großes Drehmoment kann angewendet werden. "	"2. As the hexagonal surface of the nut or bolt is surrounded, there is no danger of damage to the corners of the bolt and a large torque can be applied."	"2. Kai šešiakampis veržlės ar varžto paviršius yra gerai apgaubtas, nėra pavojaus pažeisti varžto kampus, tad galima panaudoti didelį sukimo momentą."	"2. Tā kā uzgriežņa vai skrūves sešstūrainā virsma ir apņemta, nepastāv risks, ka varētu tikt sabojāti uzgriežņa vai skrūves stūri, un ir iespējams pielikt lielu pievilkšanas spēku."
2. Vedeliku leke	2. Flüssigkeitsleck	2. Fluid leakage	2. Skysčio nuotėkis	2. Šķidruma noplūde
2. Kontrollige õhktoitega tööriistu regulaarselt ja õlitage tööriistu määrimiseks ja rooste tekke vältimiseks.	2. Inspizieren Sie die Luftwerkzeuge regelmäßig und setzen Sie Luftwerkzeugöl zur Schmierung und Rostprävention ein.	2. Inspect air tools periodically and apply air tool oil for lubrication and rust prevention.	"2. Periodiškai tikrinkite pneumatinius įrankius ir naudodami pneumatinio įrankio alyvą, kad suteptumėte ir apsaugotumėte nuo rūdžių."	"2. Periodiski pārbaudiet pneimatiskos instrumentus un izmantojiet pneimatisko instrumentu eļļu, lai tos ieeļļotu un novērstu rūsēšanu."
"2. Kontrollige täkkeid, ebaühtlaseid, ebatavalisi kulumisi ning teisi kahjustusi pidurikettal."	"2. Inspizieren Sie auf eingekerbten, unebenmäßigen oder abnormalen Verschleiß und auf Risse oder andere Schäden der Bremsscheibe."	"2. Inspect for scored, uneven, or abnormal wear and for cracks and other damage on the brake disc."	"2. Patikrinkite ar ant stabdžių diskų nėra įrėžimų, nelygaus ar neįprasto nusidėvėjimo bei įtrūkimų ar kitokių pažeidimų."	"2. Pārbaudiet, vai bremžu diskam nav robota, nevienmērīga vai pārmērīga nodiluma un plaisu un citu bojājumu."
2. Lukustusmutter	2. Kontermutter	2. Lock nut	2. Kontraveržlė	2. Pretuzgrieznis
2. Plasthaamer	2. Kunststoffhammer:	2. Plastic hammer	2. Plastikinis plaktukas	2. Plastmasas āmurs
2. Turvavöö meeldetuletuse tuli	2. Erinnerungslicht für Sicherheitsgurt	2. Seat belt reminder light	2. Saugos diržo priminimo lemputė	2. Piesprādzēšanās atgādinājuma lampiņa
2. Väike pöördemoment	2. Kleiner Drehmoment-Typ	2. Small torque type	2. Mažo sukimo momento tipas	2. Mazā dinamometriskā atslēga
2. Lülitage mootor välja	2. Schalten Sie den Motor aus	2. Switch the engine off	2. Išjunkite variklį	2. Izslēdziet dzinēju
2. Vaakumpump	2. Vakuumventil	2. Vacuum Valve	2. Vakuuminis vožtuvas	2. Vakuumvārsts
2. Sõiduk vajab hooldust möödunud ajaperioodi tõttu.	2. Das Fahrzeug bedarf der Wartung aufgrund des verstrichenen Zeitabstands.	2. Vehicle needs servicing because of elapsed time period.	"2. Automobiliui reikia techninės priežiūros, dėl praėjusio laiko tarpo nuo paskutinės apžiūros."	"2. Transportlīdzeklim jāveic apkope, jo ir aizritējis noteiktais laika posms."
2. Kulumise näit	2. Anzeige des Verschleißes	2. Wear indicator	2. Nusidėvėjimo indikatorius	2. Nodiluma indikators
2. Piduriklotside kulumine libisemispiirkonnas.	2. Verschleiß am Gleitbereich der Bremsschuhe.	2. Wear to the sliding area of the brake shoes.	2. Stabdžių trinkelių slydimo srities nusidėvėjimas.	2. Bremžu loku kontaktvirsmas zonas nodilums.
2. Milline järgmistest väidetest süüteküünalde kohta on õige?	2. Welche der folgenden Aussagen über Zündkerzen ist richtig?	2. Which one of the following statements regarding spark plugs is correct?	2. Kuris iš šių teiginių apie uždegimo žvakes yra teisingas?	2. Kurš no turpmāk minētajiem apgalvojumiem par aizdedzes svecēm ir pareizs?
3. Kontrollige pedaali kõrguse muutumist	3. Prüfen Sie die Veränderung der Höhe des Pedals.	3. Check change in pedal height	3. Patikrinkite pedalo aukščio pokytį	3. Pārbaudiet pedāļa augstuma izmaiņas
3. Elastne ala: Aksiaalpinge tõuseb proportsionaalselt polti pöörlemisnurgaga.	3. Elastischer Bereich: Die axiale Spannung der Schraube erhöht sich proportional zum Drehwinkel der Schraube.	3. Elastic region: The axial tension increases in proportion to the rotational angle of the bolt.	3. Elastinė sritis: Ašių tempimas didėja proporcingai varžto pasukimo kampui.	3. Elastīgā zona: Aksiālā stiepe palielinās proporcionāli skrūves rotācijas leņķim.
"3. Servade kulumine, vale kokkujooks"	"3. Verschleiß der Kartätsche, falsche Vorspur"	"3. Featheredge wear, incorrect toe-in"	"3. Briaunos dėvėjimasis, blogas pokrypio kampas"	"3. Nodilums ar plaisājumiem malās, nepareiza savirze"
3. Kontrollhaamer	3. Prüfhammer	3. Test hammer	3. Tikrinimo plaktukas	3. Testa āmurs
3. Mutrikeeraja	3. Der Spindelgriff	3. The spinner handle	3. Sukamoji rankena	3. Griežamais rokturis
3. Piduri hõõrdkatte paksus.	3. Dicke des Bremsbelags.	3. Thickness of the brake lining.	3. Stabdžio trinkelės antdėklo storis.	3. Bremžu uzlikas biezums.
4. Adapterid	4. Adapter	4. Adapters	4. Adapteriai	4. Adapteri
